2020年,労働生産性（円/時間）,賃金所得（千円）
北海道,8997.702921,4232.5
青森,8946.026251,3667.9
岩手,8336.011457,3790.4
宮城,8875.070576,4459.4
秋田,8700.56014,3758
山形,8154.747457,3868.4
福島,9391.495832,4126
茨城,10961.84715,4828.8
栃木,9837.563869,4570.5
群馬,9363.8803,4566.1
埼玉,9399.600963,4665.6
千葉,10106.49077,4756.1
東京,10052.44983,5952.4
神奈川,9230.573427,5369.7
新潟,8258.925215,3981.7
富山,8927.186234,4585
石川,8293.178123,4510.7
福井,10523.76209,4340.2
山梨,11092.57014,4620.2
長野,9867.076495,4475.1
岐阜,9516.51356,4549.4
静岡,9724.677147,4651.9
愛知,10036.03395,5133.8
三重,11038.81355,4755
滋賀,11684.66876,4862.2
京都,9967.990688,4900.6
大阪,8074.419289,5042.4
兵庫,10482.963,4848.7
奈良,10584.33491,4610.7
和歌山,10983.14295,4347.5
鳥取,7679.885745,4014.7
島根,9470.00738,4010.3
岡山,8600.643622,4421
広島,8879.207215,4668.1
山口,11201.41132,4536.7
徳島,12309.29429,4236.5
香川,8999.513429,4419.3
愛媛,8365.670733,4082
高知,9352.010593,3922.4
福岡,8388.697603,4435.6
佐賀,8592.664745,3973.1
長崎,8652.119309,3955.7
熊本,8628.955241,4106.3
大分,9964.425198,4049.3
宮崎,8014.619457,3840.2
鹿児島,9279.043083,3979.1
沖縄,8043.928221,3740.3
